welcome to:0.000721412468054398
all kinds:0.000612365413782523
kinds of:0.000375374607743564
of text:0.000288945447596478
text data:0.000873915817166195
data that:0.000685280983216786
that are:0.000984056903420633
are being:0.00103795458613719
being generated:0.00030456153245631
generated very:0.0000481859152666476
very quickly:0.000411042603141283
now these:0.000264945417848842
these text:0.000598322529064981
text data:0.00101008787321799
data present:0.000202088091285776
present some:0.000278706459857819
some challenges:0.000997315021736076
challenges for:0.000343223405389687
for people:0.000980987980115586
it's very:0.000238657378094126
very hard:0.00104752094812768
hard for:0.000619844246909813
for anyone:0.0000555921828519951
anyone to:0.000890871797296772
to digest:0.000720760009475574
digest all:0.00103958664911012
all the:0.00103016877916578
the text:0.000444127469410379
text data:0.000602887375967025
data quickly:0.000960003192228457
in particular:0.000556648419850338
it's impossible:0.000987404347920127
impossible for:0.00107165604004908
for scientists:0.000845288842558428
scientists to:0.00000474996566855822
to read:0.000779931402488302
read all:0.000533017496370342
all of:0.000998815996002492
of the:0.000208767636880803
the for:0.0007000184003131
for example:0.000393353093322559
example or:0.000533785313424169
or for:0.000743477857428291
for anyone:0.00107342258573832
anyone to:0.00025998284190179
to read:0.000714022407228496
read all:0.00108988134863243
all the:0.000497657748132432
the tweets:0.000548708786777002
so there's:0.000130624575070406
there's a:0.000758448013426977
a need:0.000821712737851568
need for:0.000485686453492612
for tools:0.0011199645786932
tools to:0.00101009840977971
to help:0.000824041630817225
help people:0.000997774476249778
people digest:0.000647364969112753
digest text:0.00073363305863393
text data:0.000674371475145007
data more:0.000938658251407645
more efficiently:0.00108263889860913
there is:0.00112426861272113
is also:0.0000887907178900499
also another:0.00116289239957783
another interesting:0.000597632158684048
interesting opportunity:0.000787013942146402
opportunity provided:0.0010484813985788
provided by:0.000124676969318975
by such:0.00103339549990484
such big:0.000292409098430844
big text:0.00030091011570552
text data:0.000083179823113298
and that:0.000544317455444187
that is:0.000771522887196073
is it's:0.000738804210933964
it's possible:0.00117687344859545
possible to:0.0000801019726325101
to leverage:0.000383646030241326
leverage the:0.00004381818675778
the amount:0.000592344453226882
amount of:0.000532867193447938
of text:0.000864727858216842
text data:0.00107577583902519
data to:0.00070245971858958
to discover:0.00081086723425507
discover interesting:0.000392191800111054
interesting patterns:0.000220473450248054
patterns to:0.000446343302008714
to turn:0.000670815295533396
turn text:0.000191613446837482
text data:0.0011587713851585
data into:0.00118567562061888
into actionable:0.000518139394898173
actionable knowledge:0.000572162878615951
knowledge that:0.000474480164655249
that can:0.000947838296420388
can be:0.00106612948824303
be useful:0.00108800831615342
useful for:0.00107497739519614
for decision:0.000531088677138299
decision making:0.000473587512566177
so for:0.00103522270527775
for example:0.000358105027854739
product managers:0.000549723913433073
managers may:0.0000269034955988934
may be:0.000609238138330309
be interested:0.000424621151588541
interested in:0.00110014711753956
in knowing:0.000623961456030249
knowing the:0.00107361807320218
the feedback:0.000488399785174097
feedback of:0.0009958331481247
of customers:0.000483662890760497
customers about:0.000204563387996145
about their:0.0000963523382939505
their products:0.000791663670921954
knowing how:0.00117625940711114
how well:0.000987907718990317
well their:0.00042704813380447
their products:0.0000565611708855165
products are:0.000223808567900517
are being:0.000217744287023582
being received:0.00118899075267057
received as:0.000748127366707661
as compared:0.00055986645665526
compared with:0.000128793177421636
with the:0.00107829012624569
the products:0.000210821152258577
products of:0.000408012959264247
of competitors:0.00116775044338583
this can:0.000056893680562913
can be:0.00000952344585978036
be a:0.00107191344483492
a good:0.000703353407139146
good opportunity:0.000569539737196382
opportunity for:0.000756607733914111
for leveraging:0.000187089843812324
leveraging text:0.000587427500134841
text data:0.000274782158061976
data as:0.000338939342682463
as we:0.000335900076658453
we have:0.000893012456000344
have seen:0.000375590349116676
seen a:0.000908274203321926
a lot:0.000531533662778762
lot of:0.000798674245755801
of reviews:0.000448726111796969
reviews of:0.000508178392510963
of product:0.000801761782294902
product on:0.000582238966600614
on the:0.00048894313692957
the web:0.00108919089331497
so if:0.0000364854716964577
if we:0.000262167105213095
we can:0.000786597372276388
can develop:0.000278812136100696
develop a:0.000473188444059781
a master:0.000256460289354734
master text:0.00099492300236235
text mining:0.000687187498295015
mining techniques:0.000434395967555952
techniques to:0.0000199608062305356
to tap:0.00110338841648984
tap into:0.001137895938514
into such:0.0000792216913561252
such a:0.000228413627089206
a inaudible:0.000211735980804158
inaudible to:0.000403377948918781
to extract:0.000393756749492423
extract the:0.000857849514330029
the knowledge:0.000297385216807167
knowledge and:0.000710769338617277
and opinions:0.0000380193377687109
opinions of:0.000477809662562288
of people:0.000178669321088914
people about:0.000886306249621969
about these:0.000716095710518008
these products:0.000588347353243722
then we:0.000458834763374293
we can:0.000787486802951828
can help:0.000312344318125647
help these:0.000492528297597359
these product:0.000686046056267564
product managers:0.00040208706767544
managers to:0.000107376723222389
to gain:0.00115403144453994
gain business:0.00113854778136187
business intelligence:0.000181213295199855
intelligence or:0.00101321377154923
or to:0.00118952980613151
to essentially:0.000401138185750413
essentially feedback:0.000567793632146949
feedback from:0.000451613278577773
from their:0.000879247542761864
their customers:0.000686774451097626
in scientific:0.000126132987756693
scientific research:0.000711490694764718
for example:0.000532698430562008
scientists are:0.0000323480443475901
are interested:0.000781296515051553
interested in:0.000165067218428316
in knowing:0.000100774400292274
knowing the:0.000351875031165499
the trends:0.00000866999217343087
trends of:0.000475934673783363
of research:0.00106557699572154
research topics:0.000381775027141995
knowing about:0.000536887356495666
about what:0.00113430588467147
what related:0.000885372290205128
related fields:0.00114949702058587
fields have:0.00097748850162677
have discovered:0.000435412971095243
this problem:0.0000542786451838151
problem is:0.000390558107817281
is especially:0.000421971291225529
especially important:0.0000454859591845182
important in:0.000969647070267227
in biology:0.000549400539871167
biology research:0.000605996235658647
research as:0.00106817501772276
as well:0.000184926138775497
different communities:0.000580270034518148
communities tend:0.0000622309642951039
tend to:0.000965757168474733
to use:0.000289631076740811
use different:0.00110811389037165
different terminologies:0.000337205121577064
yet they're:0.000200277433723086
they're starting:0.000153285446027747
starting very:0.00085497820850219
very similar:0.00114586084895143
similar problems:0.000257761710298928
so how:0.000509120509124676
how can:0.000435084915351741
can we:0.00111366952363716
we integrate:0.000904910481702293
integrate the:0.000102096361751049
the knowledge:0.00105609537916513
knowledge that:0.0000455768188391742
that is:0.000414515046483063
is covered:0.000969933402771186
covered in:0.000324596450135762
in different:0.00115135367575945
different communities:0.000362781457466454
communities to:0.00097015940216358
to help:0.00100563820537465
help study:0.000286469458660607
study a:0.00090679643808921
a particular:0.00076383205363114
particular problem:0.000256725905534537
it's very:0.000550851727493793
very important:0.000579392784744341
and it:0.00102690043545034
it can:0.000659013682944073
can speed:0.000087702913358508
speed up:0.000512864739823975
up scientific:0.000187192773670987
scientific discovery:0.000546458289525099
so there:0.00100072537476325
there are:0.0008572899726451
are many:0.000338253025227296
many such:0.0000917990761691496
such examples:0.00017036432814957
examples where:0.000468720906263868
where we:0.00111608610382425
we can:0.0000706246293845502
can leverage:0.00108199635360496
leverage the:0.000365957828490624
the text:0.000297805167576351
text data:0.000539404571566166
data to:0.000808162581823853
to discover:0.000467100786191561
discover useable:0.000160620008886679
useable knowledge:0.000103078285977048
knowledge to:0.00113264532796056
to optimize:0.00119368297382319
optimize our:0.00000250843783275069
our decision:0.000834159224811485
the main:0.000435962030830768
main techniques:0.000156428649127045
techniques for:0.00103583449801766
for harnessing:0.000981088688241227
harnessing big:0.000845840580755761
big text:0.000173507360604513
text data:0.00111544370935793
data are:0.000620790227670519
are text:0.0000612475107209918
text retrieval:0.00115676243018643
retrieval and:0.00115298564884459
and text:0.000144518104185759
text mining:0.000571899988145919
so these:0.00111368312797855
these are:0.000877471725071086
are two:0.000510449738460687
two very:0.0000894192719437449
very much:0.000126490920941296
much related:0.000985977499279696
related technologies:0.000388230872182963
they have:0.000855330107215519
have somewhat:0.000456355827755996
somewhat different:0.00105003809852086
different purposes:0.000392178903929687
these two:0.000383478900594943
two kinds:0.000774134474262663
kinds of:0.000183321355410506
of techniques:0.000405363766094829
techniques are:0.00101486495928394
are covered:0.000112355827177352
covered in:0.00109334120992934
in the:0.00100619934983743
the tool:0.000331085389096903
tool in:0.0000806110515525594
in this:0.000885216513562174
this specialization:0.000970454755886961
text retrieval:0.000264389677876106
retrieval on:0.0010935950439803
on search:0.000373285324485266
search engines:0.00103137987708996
engines covers:0.000773000177888629
covers text:0.00113486710728748
text retrieval:0.000746985550972959
and this:0.000633366955373597
this is:0.000389363823884943
is necessary:0.00000916708683407535
necessary to:0.00101443624730762
to turn:0.00017119411737987
turn big:0.000381514575729183
big text:0.0000772322727499545
text data:0.000312843869299635
data into:0.000524307760102825
into a:0.00092347075058171
a much:0.0000302851844472117
much smaller:0.000924003799385202
smaller but:0.00108828617474832
but more:0.000896036809797405
more relevant:0.000151166694698777
relevant text:0.000665772874633316
text data:0.00110742185805819
which are:0.000784344032894078
are often:0.000406519282578287
often the:0.000285849754664423
the data:0.000945567786179683
data that:0.0000557345695054027
that we:0.000955529387310329
we need:0.00105324001694061
need to:0.000321176969052581
to handle:0.000301945038485494
handle a:0.000647013728450241
a particular:0.000887464874275301
particular problem:0.000672362070615445
problem or:0.000385108052673165
or to:0.000953800080914315
to optimize:0.000509699396102664
optimize a:0.000451569243099321
a particular:0.000263127984407181
particular decision:0.000784461628076254
this course:0.000656982183309568
course covers:0.000596047717534893
covers text:0.000119230342170285
text mining:0.000187397917642141
mining which:0.000622457905511889
which is:0.000299046734304364
is a:0.000872508643853401
a second:0.000958196999185254
second step:0.000432646449718746
step in:0.000395637519540972
in this:0.000999994409065611
this pipeline:0.00000343632982345599
pipeline that:0.0009086816914771
that can:0.00090710864491137
can be:0.000242020314110815
be used:0.000265033894702581
used to:0.000833259297584939
to further:0.000112909797704264
further process:0.00102341213387256
process the:0.00049275547593693
the small:0.0000899034386496138
small amount:0.000815710089999051
amount of:0.000689198366230295
of relevant:0.00110306113620223
relevant data:0.000872093992293012
data to:0.000451134741743491
to extract:0.000293840247647959
extract the:0.00021957441866263
the knowledge:0.000111730166309862
knowledge or:0.000140887277868694
or to:0.000339106877990392
to help:0.000426168350910391
help people:0.00069134829006236
people digest:0.000890322046865603
digest the:0.000618337317489918
the text:0.000731912537950892
text data:0.000491025628728277
data easily:0.000801353206409914
so the:0.000427418762387516
the two:0.00103413789199953
two courses:0.000333236277777604
courses are:0.000424496423961126
are clearly:0.0000974012366875553
clearly related:0.00070773064162937
in fact:0.000760197946935949
some of:0.000076008554071416
of the:0.000419637737224329
the techniques:0.00100306914828013
techniques are:0.00110917429714531
are shared:0.0000476966901743059
shared by:0.00100476688378959
by both:0.000756794142131762
both text:0.00038417466541272
text retrieval:0.0000815158374366476
retrieval and:0.00118189281064129
and text:0.000956434039163168
text mining:0.000885392482659885
if you:0.000436584987423588
you have:0.0005307325304664
have already:0.000744361565810077
already taken:0.000170998923050354
taken the:0.00106317843325662
the text:0.000871452058267117
text retrieval:0.00103022783376006
retrieval course:0.00000850715690356323
then you:0.000531826319249571
you might:0.0000170086382994236
might see:0.000494620239802889
see some:0.00112709223947143
some of:0.000490502534776381
of the:0.000793539313292586
the content:0.000332888096225514
content being:0.000222844826155501
being repeated:0.000628205566251636
repeated in:0.000464249239039882
in this:0.000684208314145866
this text:0.000593731955572907
text mining:0.00111908212855192
mining course:0.000512675442590549
although we'll:0.000044149832100777
we'll be:0.000749893396131168
be talking:0.000731405584484122
talking about:0.00021386765611078
about the:0.0010350478835998
the techniques:0.000146641811933143
techniques from:0.000395319757812664
from a:0.0000628968168995971
a very:0.000836039350091758
very different:0.000781297255520093
different perspective:0.000780261135061287
if you:0.000244772479764884
you have:0.000387831500633011
have not:0.000586695990790124
not taken:0.000829560315118747
taken the:0.0010982319334145
the text:0.00114010014129693
text retrieval:0.00000261371989245224
retrieval course:0.0000678759488430854
it's also:0.000109305399379385
also fine:0.00114531107365528
fine because:0.000296943472747346
because this:0.00116099179052085
this course:0.000319240640266832
course is:0.000692750887449423
is self:0.00101932168630786
self contained:0.00066710943163777
contained and:0.000111097453615426
and you:0.000549262383498788
you can:0.000389117161443079
can certainly:0.000168887476149406
certainly understand:0.00108985592188918
understand all:0.000938632171662505
all of:0.00111791394877995
of the:0.000836200926010296
the materials:0.000520128382229002
materials without:0.00057097768494588
without a:0.0000375153816069647
a problem:0.00104870789474803
of course:0.000116396143901235
you might:0.000148378410631253
might find:0.000546573408366786
find it:0.000545351708145696
it beneficial:0.000874547192342269
beneficial to:0.000348305432326639
to take:0.000367655720850852
take both:0.000983849876458265
both courses:0.000807074151325011
courses and:0.000534758141297817
and that:0.000999566389573887
that will:0.000915646931922978
will give:0.000326618968423641
give you:0.0011557823686232
you a:0.000895358609002184
a very:0.00105534832395421
very complete:0.0000217901319684392
complete set:0.000715070844249822
set of:0.000567922514678107
of skills:0.00118028430634748
skills to:0.000289048170085794
to handle:0.000394034984020064
handle big:0.000308196816751069
big text:0.000198386755809997
text data:0.000428304676577872
welcome to:0.000965825082810177
to the:0.0000866272637530315
the course:0.000663578491794495
course text:0.000176962175112303
text mining:0.000400609434031113
mining and:0.000529204194273603
and analytics:0.000576919515450894
my name:0.000554503622593694
name is:0.00119304971488463
is chengxiang:0.00024127053571726
chengxiang zhai:0.000421165842955297
i have:0.0000549642763738034
have a:0.000797404448543849
a nickname:0.000150693806531916
i am:0.000638420201304932
am a:0.00100415349816473
a professor:0.000533409688928515
professor of:0.000179991527363254
of the:0.000679259149600071
the department:0.000386770404513667
department of:0.000774635041400905
of computer:0.000686625839922692
computer science:0.000231212187595373
science at:0.0010433294943713
at the:0.000626948379695244
the university:0.000306672041232547
university of:0.00007399681838999
of illinois:0.000143679927401802
illinois at:0.000948433010988047
at urbana:0.000373756227340732
urbana champaign:0.000621859205853392
this course:0.000711905737359266
course is:0.00055469680103804
is a:0.000274826247191944
a part:0.000599738425487393
part of:0.000804709361995662
of a:0.000705769704573889
a data:0.000763314769476837
data mining:0.000482063542049559
mining specialization:0.00000260385327628295
specialization offered:0.000426208041469597
offered by:0.000238064111129478
by the:0.000954342839914367
the university:0.000169324857107643
university of:0.000400199222084159
of illinois:0.000235673732883013
illinois at:0.00116879228100271
at urbana:0.0000999092166209682
urbana champaign:0.00101248802362928
in addition:0.000560963163748845
addition to:0.000721133794336961
to this:0.000850916739587541
this course:0.000127720883931627
there are:0.000277525758232408
are four:0.000249608669329867
four other:0.0000146589039302939
other courses:0.000269605358479898
courses offered:0.000275222510981344
offered by:0.00106443665558348
by professor:0.0000366374721049246
professor jiawei:0.000261873238687004
jiawei han:0.000447340141785966
professor john:0.000345626821689758
john hart:0.000182074906104983
hart and:0.00104807692596335
and me:0.000842553111147276
followed by:0.001065381977212
by a:0.000325983079195512
a capstone:0.000857283858433399
capstone project:0.0000976132788172266
project course:0.000886447329096052
course that:0.000979121643449757
that all:0.000347070186139898
all of:0.000564942614200097
of us:0.00107894639536258
us will:0.000462736113486533
will teach:0.000916400406946231
teach together:0.000114996877951425
this course:0.000447261265804628
course is:0.00115349704933465
is particularly:0.00011260466383206
particularly related:0.00114798475066937
related to:0.0008813072762053
to another:0.000392725294361361
another course:0.00000855258050297633
course in:0.000629349607833796
in the:0.000575488895650668
the specialization:0.000259911770177305
mainly text:0.000972252182952609
text retrieval:0.000400291554330607
retrieval and:0.000999633589413947
and search:0.000383951011623617
search engines:0.000247223335109276
engines in:0.000505954393336626
in that:0.00111766498117355
that both:0.00112942382098949
both courses:0.000374665506943771
courses are:0.000345682110046015
are about:0.000373315052976841
about text:0.000546366861591926
text data:0.0009525978706275
in contrast:0.0011474111497792
pattern discovery:0.0000714068565181069
discovery and:0.000327708096863266
and cluster:0.000163604626124487
cluster analysis:0.000546779320160732
analysis are:0.000532060373477467
are about:0.0002142590209571
about algorithms:0.000145044520811206
algorithms more:0.000693055004971523
more applicable:0.000526335544109744
applicable to:0.000287503423397422
to all:0.000222081463285038
all kinds:0.000536783385235167
kinds of:0.00047332437982503
of data:0.000539666198179187
data in:0.000576520783801102
in general:0.000868802054029261
the visualization:0.0000593107145195312
visualization course:0.000584874815272073
course is:0.000551606356712071
is also:0.000884445855860746
also relatively:0.000195498293356757
relatively general:0.000793239898573955
general in:0.000372699498916273
in that:0.0000221137322188872
that the:0.000416247295855697
the techniques:0.000251224830896473
techniques can:0.000975315896200795
can be:0.00108492576829928
be applied:0.0000581700749071676
applied to:0.000687529705158957
to all:0.0000656681531731849
all kinds:0.00117044628069336
kinds of:0.000292716101993444
of data:0.00027247300027401
this course:0.00110357314350454
course addresses:0.00113686671201038
addresses a:0.000177191298672191
a pressing:0.0010124018927054
pressing need:0.000710070436956852
need for:0.000826873131922393
for harnessing:0.0000790546443552617
harnessing big:0.000507861674287976
big text:0.00110843952123
text data:0.000813989390829494
text data:0.000774555322187125
data has:0.00114887828397205
has been:0.000353995532894555
been growing:0.00117994450058641
growing dramatically:0.00110858225420922
dramatically recently:0.00110173780530494
mostly because:0.000565684601929073
because of:0.000502691668284492
of the:0.00111535923552136
the advance:0.000695340251573619
advance of:0.0000214214317237569
of technologies:0.0000338521023225885
technologies deployed:0.000179481321075496
deployed on:0.000827461085154628
on the:0.0000951186962543246
the web:0.000602797872688218
web that:0.00094070125221507
that would:0.000783537435880774
would enable:0.000773430683053755
enable people:0.00048819381837623
people to:0.000743953427511085
to quickly:0.000643479386901354
quickly generate:0.0000690678815765185
generate text:0.000374101996100885
text data:0.000235477996026529
i listed:0.000960726177988432
listed some:0.0000161579103468335
some of:0.000143331598322669
of the:0.000289119928920911
the examples:0.0007163356090104
examples on:0.000522006278693287
on this:0.000996849696550131
this slide:0.000642163807039861
slide that:0.000964075440986578
that can:0.000304468396211558
can show:0.0000173284635029195
show a:0.00100736208658962
a variety:0.000983955449621022
variety of:0.000715551812706583
of text:0.00117564473742114
text data:0.000175150229376074
data that:0.000274817167394442
that are:0.00114985168794668
are available:0.000731461803130336
available today:0.000291722946188285
for example:0.0000894443187737518
if you:0.000698532005069992
you think:0.000217006045242251
think about:0.000686503325495062
about the:0.000593892821390211
the data:0.000830226788074669
data on:0.000446211393262269
on the:0.000383063630981403
the internet:0.000965434032153455
on the:0.000327477999522504
the web:0.00109444684841623
everyday we:0.0000113246515986336
we are:0.00113772613486115
are seeing:0.000827612526137099
seeing many:0.000959733841377031
many web:0.000280059727710722
web pages:0.000563893892442263
pages being:0.00107610166949458
being created:0.000336137772445645
blogs are:0.000796732254265113
are another:0.000862415429715566
another kind:0.00103634571797031
kind of:0.00118232505519308
of new:0.000272188792757052
new text:0.000106610965001656
text data:0.000719188230183272
data that:0.000886195642341965
that are:0.000171644781003235
are being:0.000503822678096468
being generated:0.00048526994532421
generated quickly:0.000538656605974874
quickly by:0.000737648031042861
by people:0.000798095385390116
anyone can:0.00116369566418399
can write:0.000701800760226912
write a:0.0000323877532334684
a blog:0.0000109997260101746
blog article:0.000683119453075606
article on:0.000477829974812974
on the:0.00105780498111293
